trial_type,trial_index,time_elapsed,internal_node_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,stimulus,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,phase,deviceInfo,itemID,stimulus_type,correct_ans,list,content,sound1,sound2
html-keyboard-response,76,313800,0.0-10.0-5.10,,,,,,1407,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>They watched the movie.</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,7,MM,j,BKB,They watched the movie.,stimuli/FAS_M1M-BKBR-00-01.wav,stimuli/FAS_M6M-BKBR-00-01.wav
html-keyboard-response,77,314807,0.0-10.0-0.11,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,78,315308,0.0-10.0-1.11,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>smoke</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,79,316093,0.0-10.0-2.11,,,,,,null,null,stimuli/FAS_E1M-WIPI-01-03.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,80,316594,0.0-10.0-3.11,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>smoke</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,81,317172,0.0-10.0-4.11,,,,,,null,null,stimuli/FAS_E5M-WIPI-01-03.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,82,318086,0.0-10.0-5.11,,,,,,913,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>smoke</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,3,EE,j,WIPI,smoke,stimuli/FAS_E1M-WIPI-01-03.wav,stimuli/FAS_E5M-WIPI-01-03.wav
html-button-response,83,323461,0.0-11.0,,,,,,5375,0,"
    <h1 style = ""width:100%"">
    The practice session is now over.
    </h1>
    <p>
    If you have any questions at this point, please do not close this webpage and contact the researcher.

    If you have no questions regarding the experiment procedure, click the button below to start the experiment.
    </p>
    ",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,84,324477,0.0-12.0-0.0,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,85,324990,0.0-12.0-1.0,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>loud</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,86,325713,0.0-12.0-2.0,,,,,,null,null,stimuli/word/FAS_E1M-PBKW-02-50.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,87,326214,0.0-12.0-3.0,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>loud</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,88,326913,0.0-12.0-4.0,,,,,,null,null,stimuli/word/FAS_M1M-PBKW-02-50.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,89,328602,0.0-12.0-5.0,,,,,,1689,f,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of audio is_<strong>loud</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,word,,100,EM,f,PBK,loud,stimuli/word/FAS_E1M-PBKW-02-50.wav,stimuli/word/FAS_M1M-PBKW-02-50.wav
html-keyboard-response,90,329617,0.0-12.0-0.1,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,91,330122,0.0-12.0-1.1,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>ways</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,92,330872,0.0-12.0-2.1,,,,,,null,null,stimuli/word/FAS_E1M-PBKW-01-11.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,93,331377,0.0-12.0-3.1,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>ways</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,94,331953,0.0-12.0-4.1,,,,,,null,null,stimuli/word/FAS_E5M-PBKW-01-11.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,95,332851,0.0-12.0-5.1,,,,,,898,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of audio is_<strong>ways</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,word,,11,EE,j,PBK,ways,stimuli/word/FAS_E1M-PBKW-01-11.wav,stimuli/word/FAS_E5M-PBKW-01-11.wav
html-keyboard-response,96,333860,0.0-12.0-0.2,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
